Nuclide;Z;N;Decay mode;Secondary decay mode;Tertiary decay mode;Half life;Jp;Abundance (%)
123Sb;51;72;stable;;;stable;7/2+;42.79
124Sb;51;73;b-;;;60.2 d;3-;
125Sb;51;74;b-;;;2.7576 y;7/2+;
126Sb;51;75;b-;;;12.35 d;8-;
127Sb;51;76;b-;;;3.85 d;7/2+;
128Sb;51;77;b-;;;9.05 h;8-;
129Sb;51;78;b-;;;4.366 h;7/2+;
130Sb;51;79;b-;;;39.5 min;8-;
131Sb;51;80;b-;;;23.03 min;7/2+;
132Sb;51;81;b-;;;2.79 min;(4)+;
133Sb;51;82;b-;;;2.34 min;(7/2+);
134Sb;51;83;b-;;;674 ms;(0-);
135Sb;51;84;b-;;;1.668 s;(7/2+);
136Sb;51;85;b-;;;0.923 s;(1-);
137Sb;51;86;b-;;;497 ms;7/2+;
138Sb;51;87;b-;;;333 ms;(3-);
139Sb;51;88;b-;;;182 ms;7/2+;
140Sb;51;89;b-;;;170 ms;(3-);
141Sb;51;90;b-;;;103 ms;7/2+;
142Sb;51;91;b-;;;80 ms;;
104Te;52;52;a;;;< 4 ns;0+;
105Te;52;53;a;;;633 ns;(7/2+);
106Te;52;54;a;;;78 µs;0+;
107Te;52;55;a;;;3.22 ms;5/2+;
108Te;52;56;b+: 51.0%;a: 49.0;;2.1 s;0+;
109Te;52;57;b+: 96.1%;a: 3.9%;;4.4 s;(5/2+);
110Te;52;58;b+;;;18.6 s;0+;
111Te;52;59;b+;;;26.2 s;(5/2)+;
112Te;52;60;b+;;;2 min;0+;
113Te;52;61;b+;;;1.7 min;(7/2+);
114Te;52;62;b+;;;15.2 min;0+;
115Te;52;63;b+;;;5.8 min;7/2+;
116Te;52;64;b+;;;2.49 h;0+;
117Te;52;65;b+;;;62 min;1/2+;
118Te;52;66;EC;;;6 d;0+;
119Te;52;67;b+;;;16.05 h;1/2+;
120Te;52;68;stable;;;stable;0+;0.096
121Te;52;69;b+;;;19.31 d;1/2+;
122Te;52;70;stable;;;stable;0+;2.603
123Te;52;71;EC;;;> 9.2E+16 y;1/2+;0.908
124Te;52;72;stable;;;stable;0+;4.816
125Te;52;73;stable;;;stable;1/2+;7.139
126Te;52;74;stable;;;stable;0+;18.95
127Te;52;75;b-;;;9.35 h;3/2+;
128Te;52;76;2b-;;;2.25E+24 y;0+;31.69
129Te;52;77;b-;;;69.6 min;3/2+;
130Te;52;78;2b-;;;7.91E+20 y;0+;33.80
131Te;52;79;b-;;;25 min;3/2+;
132Te;52;80;b-;;;3.204 d;0+;
133Te;52;81;b-;;;12.5 min;3/2+;
134Te;52;82;b-;;;41.8 min;0+;
135Te;52;83;b-;;;19 s;(7/2-);
136Te;52;84;b-;;;17.63 s;0+;
137Te;52;85;b-;;;2.49 s;3/2-;
138Te;52;86;b-;;;1.46 s;0+;
139Te;52;87;b-;;;724 ms;5/2-;
140Te;52;88;b-;;;351 ms;0+;
141Te;52;89;b-;;;193 ms;5/2-;
142Te;52;90;b-;;;147 ms;0+;
143Te;52;91;b-;;;120 ms;7/2+;
144Te;52;92;b-;;;93 ms;0+;
145Te;52;93;b-;;;75 ms;;
108I;53;55;a: 99.5%;p: 0.5%;;26.4 ms;1+;
109I;53;56;p: 99.99%;a: 0.01%;;92.8 µs;(1/2+,3/2+);
110I;53;57;b+: 83%;a: 17%;;664 ms;(1+);
111I;53;58;b+: 99.9%;a: 0.1%;;2.5 s;5/2+;
112I;53;59;b+;;;3.34 s;1+;
113I;53;60;b+;;;6.6 s;5/2+;
114I;53;61;b+;;;2.01 s;1+;
115I;53;62;b+;;;1.3 min;5/2+;
116I;53;63;b+;;;2.91 s;1+;
117I;53;64;b+;;;2.22 min;(5/2)+;
118I;53;65;b+;;;13.7 min;(2-);
119I;53;66;b+;;;19.1 min;5/2+;
120I;53;67;b+;;;81.67 min;2-;
121I;53;68;b+;;;2.12 h;5/2+;
122I;53;69;b+;;;3.63 min;1+;
123I;53;70;EC;;;13.2232 h;5/2+;
124I;53;71;b+;;;4.176 d;2-;
125I;53;72;EC;;;59.392 d;5/2+;
126I;53;73;b+: 52.7%;b-: 47.3%;;12.93 d;2-;
127I;53;74;stable;;;stable;5/2+;100
128I;53;75;b-: 93.1%;b+: 6.9%;;24.99 min;1+;
129I;53;76;b-;;;1.614E+7 y;7/2+;
130I;53;77;b-;;;12.36 h;5+;
131I;53;78;b-;;;8.0249 d;7/2+;
132I;53;79;b-;;;2.295 h;4+;
133I;53;80;b-;;;20.83 h;7/2+;
134I;53;81;b-;;;52.5 min;(4)+;
135I;53;82;b-;;;6.58 h;7/2+;
136I;53;83;b-;;;83.4 s;(1-);
137I;53;84;b-;;;24.13 s;7/2+;
138I;53;85;b-;;;6.26 s;(1-);
139I;53;86;b-;;;2.28 s;7/2+;
140I;53;87;b-;;;588 ms;(2-);
141I;53;88;b-;;;420 ms;7/2+;
142I;53;89;b-;;;235 ms;2-;
143I;53;90;b-;;;182 ms;7/2+;
144I;53;91;b-;;;94 ms;1-;
145I;53;92;b-;;;89.7 ms;7/2+;
146I;53;93;b-;;;94 ms;;
147I;53;94;b-;;;60 ms;3/2-;
108Xe;54;54;a;;;72 µs;0+;
109Xe;54;55;a;;;13 ms;(7/2+);
110Xe;54;56;a: 64%;b+: 36%;;93 ms;0+;
111Xe;54;57;b+: 89.6%;a: 10.4%;;740 ms;5/2+;
112Xe;54;58;b+: 98.8%;a: 1.2%;;2.7 s;0+;
113Xe;54;59;b+;;;2.74 s;5/2+;
114Xe;54;60;b+;;;10 s;0+;
115Xe;54;61;b+;;;18 s;(5/2+);
116Xe;54;62;b+;;;59 s;0+;
117Xe;54;63;b+;;;61 s;5/2+;
118Xe;54;64;b+;;;3.8 min;0+;
119Xe;54;65;b+;;;5.8 min;5/2+;
120Xe;54;66;b+;;;46 min;0+;
121Xe;54;67;b+;;;40.1 min;5/2+;
122Xe;54;68;EC;;;20.1 h;0+;
123Xe;54;69;b+;;;2.08 h;1/2+;
124Xe;54;70;2EC;;;1.1E+22 y;0+;0.10
125Xe;54;71;b+;;;16.87 h;1/2+;
126Xe;54;72;stable;;;stable;0+;0.09
127Xe;54;73;EC;;;36.342 d;1/2+;
128Xe;54;74;stable;;;stable;0+;1.91
129Xe;54;75;stable;;;stable;1/2+;26.4
130Xe;54;76;stable;;;stable;0+;4.1
131Xe;54;77;stable;;;stable;3/2+;21.2
132Xe;54;78;stable;;;stable;0+;26.9
133Xe;54;79;b-;;;5.2474 d;3/2+;
134Xe;54;80;stable;;;stable;0+;10.4
135Xe;54;81;b-;;;9.14 h;3/2+;
136Xe;54;82;2b-;;;2.18E+21 y;0+;8.9
137Xe;54;83;b-;;;3.818 min;7/2-;
138Xe;54;84;b-;;;14.14 min;0+;
139Xe;54;85;b-;;;39.68 s;3/2-;
140Xe;54;86;b-;;;13.6 s;0+;
141Xe;54;87;b-;;;1.73 s;5/2-;
142Xe;54;88;b-;;;1.23 s;0+;
143Xe;54;89;b-;;;511 ms;5/2-;
144Xe;54;90;b-;;;0.388 s;0+;
145Xe;54;91;b-;;;188 ms;3/2-;
146Xe;54;92;b-;;;146 ms;0+;
147Xe;54;93;b-;;;88 ms;3/2-;
148Xe;54;94;b-;;;85 ms;0+;
149Xe;54;95;b-;;;50 ms;3/2-;
150Xe;54;96;b-;;;40 ms;0+;
112Cs;55;57;p: 99.74%;a: 0.26%;;490 µs;;
113Cs;55;58;p;;;16.94 μs;(3/2+);
114Cs;55;59;b+;;;570 ms;(1+);
115Cs;55;60;b+;;;1.4 s;9/2+;
116Cs;55;61;b+;;;700 ms;(1+);
117Cs;55;62;b+;;;8.4 s;9/2+;
118Cs;55;63;b+;;;14 s;2(-);
119Cs;55;64;b+;;;43 s;9/2+;
120Cs;55;65;b+;;;60.4 s;2+;
121Cs;55;66;b+;;;155 s;3/2+;
122Cs;55;67;b+;;;21.18 s;1+;
123Cs;55;68;b+;;;5.88 min;1/2+;
124Cs;55;69;b+;;;30.9 s;1+;
125Cs;55;70;b+;;;44.35 min;1/2+;
126Cs;55;71;b+;;;1.64 min;1+;
127Cs;55;72;b+;;;6.25 h;1/2+;
128Cs;55;73;b+;;;3.64 min;1+;
129Cs;55;74;b+;;;32.06 h;1/2+;
130Cs;55;75;b+: 98.4%;b-: 1.6%;;29.21 min;1+;
131Cs;55;76;EC;;;9.689 d;5/2+;
132Cs;55;77;b+: 98.1%;b-: 1.9%;;6.48 d;2+;
133Cs;55;78;stable;;;stable;7/2+;100
134Cs;55;79;b-;;;2.065 y;4+;
135Cs;55;80;b-;;;1.33E+6 y;7/2+;
136Cs;55;81;b-;;;13.01 d;5+;
137Cs;55;82;b-;;;30.04 y;7/2+;
138Cs;55;83;b-;;;33.5 min;3-;
139Cs;55;84;b-;;;9.27 min;7/2+;
140Cs;55;85;b-;;;63.7 s;1-;
141Cs;55;86;b-;;;24.84 s;7/2+;
142Cs;55;87;b-;;;1.687 s;0-;
143Cs;55;88;b-;;;1.802 s;3/2+;
144Cs;55;89;b-;;;994 ms;1-;
145Cs;55;90;b-;;;582 ms;3/2+;
146Cs;55;91;b-;;;321.6 ms;1-;
147Cs;55;92;b-;;;230.5 ms;(3/2+);
148Cs;55;93;b-;;;151.8 ms;(2-);
149Cs;55;94;b-;;;112.3 ms;3/2+;
150Cs;55;95;b-;;;81 ms;(2-);
151Cs;55;96;b-;;;59 ms;3/2+;
114Ba;56;58;b+;a: 0.9%;;460 ms;0+;
115Ba;56;59;b+;;;0.45 s;5/2+;
116Ba;56;60;b+;;;1.3 s;0+;
117Ba;56;61;b+;;;1.75 s;(3/2+);
118Ba;56;62;b+;;;5.2 s;0+;
119Ba;56;63;b+;;;5.4 s;(3/2+);
120Ba;56;64;b+;;;24 s;0+;
121Ba;56;65;b+;;;29.7 s;5/2+;
122Ba;56;66;b+;;;1.95 min;0+;
123Ba;56;67;b+;;;2.7 min;5/2+;
124Ba;56;68;b+;;;11 min;0+;
125Ba;56;69;b+;;;3.3 min;1/2+;
126Ba;56;70;b+;;;100 min;0+;
127Ba;56;71;b+;;;12.7 min;1/2+;
128Ba;56;72;EC;;;2.43 d;0+;
129Ba;56;73;b+;;;2.23 h;1/2+;
130Ba;56;74;2EC;;;1E+21 y;0+;0.11
131Ba;56;75;b+;;;11.52 d;1/2+;
132Ba;56;76;stable;;;stable;0+;0.10
133Ba;56;77;EC;;;10.5379 y;1/2+;
134Ba;56;78;stable;;;stable;0+;2.42
135Ba;56;79;stable;;;stable;3/2+;6.59
136Ba;56;80;stable;;;stable;0+;7.85
137Ba;56;81;stable;;;stable;3/2+;11.23
138Ba;56;82;stable;;;stable;0+;71.70
139Ba;56;83;b-;;;82.93 min;7/2-;
140Ba;56;84;b-;;;12.7534 d;0+;
141Ba;56;85;b-;;;18.27 min;3/2-;
142Ba;56;86;b-;;;10.6 min;0+;
143Ba;56;87;b-;;;14.5 s;5/2-;
144Ba;56;88;b-;;;11.73 s;0+;
145Ba;56;89;b-;;;4.31 s;5/2-;
146Ba;56;90;b-;;;2.15 s;0+;
147Ba;56;91;b-;;;893 ms;5/2-;
148Ba;56;92;b-;;;620 ms;0+;
149Ba;56;93;b-;;;349 ms;3/2-;
150Ba;56;94;b-;;;258 ms;0+;
151Ba;56;95;b-;;;167 ms;3/2-;
152Ba;56;96;b-;;;139 ms;0+;
153Ba;56;97;b-;;;113 ms;5/2-;
154Ba;56;98;b-;;;53 ms;0+;
116La;57;59;p;;;50 ms;;
117La;57;60;p;;;21.6 ms;(3/2+);
118La;57;61;b+;;;;;
119La;57;62;b+;;;;;
120La;57;63;b+;;;2.8 s;4+;
121La;57;64;b+;;;5.3 s;11/2-;
122La;57;65;b+;;;8.6 s;2+;
123La;57;66;b+;;;17 s;11/2-;
124La;57;67;b+;;;29.21 s;(7-, 8-);
125La;57;68;b+;;;64.8 s;11/2-;
126La;57;69;b+;;;54 s;5-;
127La;57;70;b+;;;5.1 min;(11/2-);
128La;57;71;b+;;;5.18 min;(5+);
129La;57;72;b+;;;11.6 min;(3/2+);
130La;57;73;b+;;;8.7 min;3(+);
131La;57;74;b+;;;59 min;3/2+;
132La;57;75;b+;;;4.59 h;2-;
133La;57;76;b+;;;3.912 h;5/2+;
134La;57;77;b+;;;6.45 min;1+;
135La;57;78;b+;;;18.91 h;5/2+;
136La;57;79;b+;;;9.87 min;1+;
137La;57;80;EC;;;6E+4 y;7/2+;
138La;57;81;b+: 65.5%;b-: 34.5%;;1.03E+11 y;5+;0.09
139La;57;82;stable;;;stable;7/2+;99.91
140La;57;83;b-;;;40.289 h;3-;
141La;57;84;b-;;;3.92 h;(7/2+);
142La;57;85;b-;;;91.1 min;2-;
143La;57;86;b-;;;14.2 min;(7/2)+;
144La;57;87;b-;;;44 s;(3-);
145La;57;88;b-;;;24.8 s;(5/2+);
146La;57;89;b-;;;9.9 s;(5-);
147La;57;90;b-;;;4.026 s;(5/2+);
148La;57;91;b-;;;1.414 s;(2-);
149La;57;92;b-;;;1.071 s;(3/2-);
150La;57;93;b-;;;504 ms;(3+);
151La;57;94;b-;;;465 ms;1/2+;
152La;57;95;b-;;;287 ms;2-;
153La;57;96;b-;;;245 ms;1/2+;
154La;57;97;b-;;;161 ms;2-;
155La;57;98;b-;;;101 ms;1/2+;
156La;57;99;b-;;;84 ms;4+;
157La;57;100;b-;;;30 ms;1/2+;
119Ce;58;61;b+;;;;;
120Ce;58;62;b+;;;;0+;
121Ce;58;63;b+;;;1.1 s;5/2(+);
122Ce;58;64;b+;;;2 s;0+;
123Ce;58;65;b+;;;3.8 s;(5/2)(+);
124Ce;58;66;b+;;;9.1 s;0+;
125Ce;58;67;b+;;;9.7 s;(7/2-);
126Ce;58;68;b+;;;51 s;0+;
127Ce;58;69;b+;;;34 s;(1/2+);
128Ce;58;70;b+;;;3.93 min;0+;
129Ce;58;71;b+;;;3.5 min;(5/2+);
130Ce;58;72;b+;;;22.9 min;0+;
131Ce;58;73;b+;;;10.3 min;7/2+;
132Ce;58;74;b+;;;3.51 h;0+;
133Ce;58;75;b+;;;97 min;1/2+;
134Ce;58;76;EC;;;3.16 d;0+;
135Ce;58;77;b+;;;17.7 h;1/2+;
136Ce;58;78;stable;;;stable;0+;0.19
137Ce;58;79;b+;;;9 h;3/2+;
138Ce;58;80;stable;;;stable;0+;0.25
139Ce;58;81;EC;;;137.642 d;3/2+;
140Ce;58;82;stable;;;stable;0+;88.45
141Ce;58;83;b-;;;32.505 d;7/2-;
142Ce;58;84;stable;;;stable;0+;11.11
143Ce;58;85;b-;;;33.039 h;3/2-;
144Ce;58;86;b-;;;284.886 d;0+;
145Ce;58;87;b-;;;3.01 min;5/2-;
146Ce;58;88;b-;;;13.49 min;0+;
147Ce;58;89;b-;;;56.4 s;(5/2-);
148Ce;58;90;b-;;;56.8 s;0+;
149Ce;58;91;b-;;;4.94 s;3/2-;
150Ce;58;92;b-;;;6.05 s;0+;
151Ce;58;93;b-;;;1.76 s;(3/2-);
152Ce;58;94;b-;;;1.42 s;0+;
153Ce;58;95;b-;;;865 ms;3/2-;
154Ce;58;96;b-;;;722 ms;0+;
155Ce;58;97;b-;;;313 ms;5/2-;
156Ce;58;98;b-;;;233 ms;0+;
157Ce;58;99;b-;;;175 ms;7/2+;
158Ce;58;100;b-;;;99 ms;0+;
121Pr;59;62;p;;;12 ms;(3/2)+;
122Pr;59;63;b+;;;;;
123Pr;59;64;b+;;;;;
124Pr;59;65;b+;;;1.2 s;;
125Pr;59;66;b+;;;3.3 s;3/2+;
126Pr;59;67;b+;;;3.12 s;;
127Pr;59;68;b+;;;4.2 s;3/2+;
128Pr;59;69;b+;;;2.85 s;(3+);
129Pr;59;70;b+;;;30 s;(3/2+);
130Pr;59;71;b+;;;40 s;;
131Pr;59;72;b+;;;1.5 min;(3/2+);
132Pr;59;73;b+;;;1.49 min;(2+);
133Pr;59;74;b+;;;6.5 min;5/2+;
134Pr;59;75;b+;;;17 min;2-;
135Pr;59;76;b+;;;24 min;3/2+;
136Pr;59;77;b+;;;13.1 min;2+;
137Pr;59;78;b+;;;1.28 h;5/2+;
138Pr;59;79;b+;;;1.45 min;1+;
139Pr;59;80;b+;;;4.41 h;5/2+;
140Pr;59;81;b+;;;3.39 min;1+;
141Pr;59;82;stable;;;stable;5/2+;100
142Pr;59;83;b-;;;19.12 h;2-;
143Pr;59;84;b-;;;13.57 d;7/2+;
144Pr;59;85;b-;;;17.28 min;0-;
145Pr;59;86;b-;;;5.984 h;7/2+;
146Pr;59;87;b-;;;24.09 min;(2-);
147Pr;59;88;b-;;;13.39 min;3/2+;
148Pr;59;89;b-;;;2.29 min;1-;
149Pr;59;90;b-;;;2.26 min;(5/2+);
150Pr;59;91;b-;;;6.19 s;1-;
151Pr;59;92;b-;;;18.9 s;(3/2-);
152Pr;59;93;b-;;;3.57 s;4+;
153Pr;59;94;b-;;;4.28 s;3/2-;
154Pr;59;95;b-;;;2.3 s;(3+);
155Pr;59;96;b-;;;1.47 s;3/2-;
156Pr;59;97;b-;;;444 ms;1+;
157Pr;59;98;b-;;;307 ms;3/2-;
158Pr;59;99;b-;;;181 ms;5-;
159Pr;59;100;b-;;;134 ms;3/2-;
160Pr;59;101;b-;;;170 ms;1+;
161Pr;59;102;b-;;;90 ms;3/2-;
125Nd;60;65;b+;;;0.65 s;(5/2)(+);
126Nd;60;66;b+;;;1 s;0+;
127Nd;60;67;b+;;;1.8 s;5/2+;
128Nd;60;68;b+;;;5 s;0+;
129Nd;60;69;b+;;;6.8 s;7/2-;
130Nd;60;70;b+;;;21 s;0+;
131Nd;60;71;b+;;;25.4 s;(5/2+);
132Nd;60;72;b+;;;1.56 min;0+;
133Nd;60;73;b+;;;70 s;(7/2+);
134Nd;60;74;b+;;;8.5 min;0+;
135Nd;60;75;b+;;;12.4 min;;
136Nd;60;76;b+;;;50.65 min;0+;
137Nd;60;77;b+;;;38.5 min;1/2+;
138Nd;60;78;b+;;;5.04 h;0+;
139Nd;60;79;b+;;;29.7 min;3/2+;
140Nd;60;80;EC;;;3.37 d;0+;
141Nd;60;81;b+;;;2.49 h;3/2+;
142Nd;60;82;stable;;;stable;0+;27.15
143Nd;60;83;stable;;;stable;7/2-;12.17
144Nd;60;84;a;;;2.29E+15 y;0+;23.80
145Nd;60;85;stable;;;stable;7/2-;8.29
146Nd;60;86;stable;;;stable;0+;17.19
147Nd;60;87;b-;;;10.98 d;5/2-;
148Nd;60;88;stable;;;stable;0+;5.76
149Nd;60;89;b-;;;1.728 h;5/2-;
150Nd;60;90;2b-;;;9.3E+18 y;0+;5.64
151Nd;60;91;b-;;;12.44 min;3/2+;
152Nd;60;92;b-;;;11.4 min;0+;
153Nd;60;93;b-;;;31.6 s;(3/2)-;
154Nd;60;94;b-;;;25.9 s;0+;
155Nd;60;95;b-;;;8.9 s;(3/2-);
156Nd;60;96;b-;;;5.06 s;0+;
157Nd;60;97;b-;;;1.17 s;5/2-;
158Nd;60;98;b-;;;810 ms;0+;
159Nd;60;99;b-;;;500 ms;7/2+;
160Nd;60;100;b-;;;439 ms;0+;
161Nd;60;101;b-;;;215 ms;1/2-;
162Nd;60;102;b-;;;310 ms;0+;
163Nd;60;103;b-;;;80 ms;5/2-;
128Pm;61;67;b+;;;1 s;4+;
129Pm;61;68;b+;;;2.4 s;5/2+;
130Pm;61;69;b+;;;2.6 s;(5+, 6+, 4+);
131Pm;61;70;b+;;;6.3 s;(11/2-);
132Pm;61;71;b+;;;6.2 s;(3+);
133Pm;61;72;b+;;;13.5 s;(3/2+);
134Pm;61;73;b+;;;22 s;(5+);
135Pm;61;74;b+;;;49 s;(3/2+, 5/2+);
136Pm;61;75;b+;;;107 s;7+;
137Pm;61;76;b+;;;2 min;5/2-;
138Pm;61;77;b+;;;3.24 min;3-;
139Pm;61;78;b+;;;4.15 min;(5/2)+;
140Pm;61;79;b+;;;9.2 s;1+;
141Pm;61;80;b+;;;20.9 min;5/2+;
142Pm;61;81;b+;;;40.5 s;1+;
143Pm;61;82;EC;;;265 d;5/2+;
144Pm;61;83;EC;;;363 d;5-;
145Pm;61;84;EC;;;17.7 y;5/2+;
146Pm;61;85;EC: 66.0%;b-: 34.0%;;5.53 y;3-;
147Pm;61;86;b-;;;2.6234 y;7/2+;
148Pm;61;87;b-;;;5.368 d;1-;
149Pm;61;88;b-;;;53.08 h;7/2+;
150Pm;61;89;b-;;;2.698 h;(1-);
151Pm;61;90;b-;;;28.4 h;5/2+;
152Pm;61;91;b-;;;4.12 min;1+;
153Pm;61;92;b-;;;5.25 min;5/2-;
154Pm;61;93;b-;;;2.68 min;(4+);
155Pm;61;94;b-;;;41.5 s;(5/2-);
156Pm;61;95;b-;;;27.4 s;4+;
157Pm;61;96;b-;;;10.56 s;(5/2-);
158Pm;61;97;b-;;;4.8 s;(0+,1+);
159Pm;61;98;b-;;;1.648 s;(5/2-);
160Pm;61;99;b-;;;874 ms;6-;
161Pm;61;100;b-;;;724 ms;(5/2)-;
162Pm;61;101;b-;;;467 ms;2+;
163Pm;61;102;b-;;;362 ms;5/2-;
164Pm;61;103;b-;;;280 ms;5-;
165Pm;61;104;b-;;;297 ms;5/2-;
166Pm;61;105;b-;;;228 ms;;
129Sm;62;67;b+;;;550 ms;(1/2+,3/2+);
130Sm;62;68;b+;;;1 s;0+;
131Sm;62;69;b+;;;1.2 s;5/2+;
132Sm;62;70;b+;;;4 s;0+;
133Sm;62;71;b+;;;2.89 s;(5/2+);
134Sm;62;72;b+;;;9.5 s;0+;
135Sm;62;73;b+;;;10.3 s;(7/2+);
136Sm;62;74;b+;;;47 s;0+;
137Sm;62;75;b+;;;45 s;(9/2-);
138Sm;62;76;b+;;;3.1 min;0+;
139Sm;62;77;b+;;;2.57 min;1/2+;
140Sm;62;78;b+;;;14.82 min;0+;
141Sm;62;79;b+;;;10.2 min;1/2+;
142Sm;62;80;b+;;;72.49 min;0+;
143Sm;62;81;b+;;;8.75 min;3/2+;
144Sm;62;82;stable;;;stable;0+;3.08
145Sm;62;83;EC;;;340 d;7/2-;
146Sm;62;84;a;;;9.2E+7 y;0+;
147Sm;62;85;a;;;1.066E+11 y;7/2-;15.00
148Sm;62;86;a;;;6.3E+15 y;0+;11.25
149Sm;62;87;stable;;;stable;7/2-;13.82
150Sm;62;88;stable;;;stable;0+;7.37
151Sm;62;89;b-;;;94.6 y;5/2-;
152Sm;62;90;stable;;;stable;0+;26.74
153Sm;62;91;b-;;;46.2846 h;3/2+;
154Sm;62;92;stable;;;stable;0+;22.74
155Sm;62;93;b-;;;22.18 min;3/2-;
156Sm;62;94;b-;;;9.4 h;0+;
157Sm;62;95;b-;;;8.03 min;3/2-;
158Sm;62;96;b-;;;5.3 min;0+;
159Sm;62;97;b-;;;11.37 s;5/2-;
160Sm;62;98;b-;;;9.6 s;0+;
161Sm;62;99;b-;;;4.8 s;7/2+;
162Sm;62;100;b-;;;2.7 s;0+;
163Sm;62;101;b-;;;1.744 s;1/2-;
164Sm;62;102;b-;;;1.422 s;0+;
165Sm;62;103;b-;;;592 ms;5/2+;
166Sm;62;104;b-;;;396 ms;0+;
167Sm;62;105;b-;;;334 ms;7/2-;
168Sm;62;106;b-;;;353 ms;0+;
130Eu;63;67;p;;;1 ms;(1+);
131Eu;63;68;p;;;17.8 ms;3/2+;
132Eu;63;69;b+;;;;;
133Eu;63;70;b+;;;;;
134Eu;63;71;b+;;;0.5 s;;
135Eu;63;72;b+;;;1.5 s;5/2+;
136Eu;63;73;b+;;;3.3 s;6+;
137Eu;63;74;b+;;;8.4 s;5/2+;
138Eu;63;75;b+;;;5 s;2-;
139Eu;63;76;b+;;;17.9 s;(11/2)-;
140Eu;63;77;b+;;;1.51 s;1+;
141Eu;63;78;b+;;;40.7 s;5/2+;
142Eu;63;79;b+;;;2.36 s;1+;
143Eu;63;80;b+;;;2.59 min;5/2+;
144Eu;63;81;b+;;;10.2 s;1+;
145Eu;63;82;b+;;;5.93 d;5/2+;
146Eu;63;83;b+;;;4.61 d;4-;
147Eu;63;84;b+;;;24.1 d;5/2+;
148Eu;63;85;b+;;;54.5 d;5-;
149Eu;63;86;EC;;;93.1 d;5/2+;
150Eu;63;87;b+;;;36.9 y;5-;
151Eu;63;88;a;;;4.6E+18 y;5/2+;47.81
152Eu;63;89;b+: 72.1%;b-: 27.9%;;13.517 y;3-;
153Eu;63;90;stable;;;stable;5/2+;52.19
154Eu;63;91;b-;;;8.592 y;3-;
155Eu;63;92;b-;;;4.742 y;5/2+;
156Eu;63;93;b-;;;15.19 d;0+;
157Eu;63;94;b-;;;15.18 h;5/2+;
158Eu;63;95;b-;;;45.9 min;1-;
159Eu;63;96;b-;;;18.1 min;5/2+;
160Eu;63;97;b-;;;42.6 s;(5-);
161Eu;63;98;b-;;;26.2 s;5/2+;
162Eu;63;99;b-;;;10 s;1+;
163Eu;63;100;b-;;;7.7 s;5/2+;
164Eu;63;101;b-;;;4.16 s;3-;
165Eu;63;102;b-;;;2.163 s;5/2+;
166Eu;63;103;b-;;;1.277 s;0-;
167Eu;63;104;b-;;;852 ms;5/2+;
168Eu;63;105;b-;;;440 ms;6-;
169Eu;63;106;b-;;;389 ms;5/2+;
170Eu;63;107;b-;;;197 ms;;
134Gd;64;70;b+;;;;;
135Gd;64;71;b+;;;1.1 s;(5/2+);
136Gd;64;72;b+;;;1 s;0+;
137Gd;64;73;b+;;;2.2 s;(7/2)+;
138Gd;64;74;b+;;;4.7 s;0+;
139Gd;64;75;b+;;;5.7 s;9/2-;
140Gd;64;76;b+;;;15.8 s;0+;
141Gd;64;77;b+;;;14 s;(1/2+);
142Gd;64;78;b+;;;70.2 s;0+;
143Gd;64;79;b+;;;39 s;1/2+;
144Gd;64;80;b+;;;4.47 min;0+;
145Gd;64;81;b+;;;23 min;1/2+;
146Gd;64;82;EC;;;48.27 d;0+;
147Gd;64;83;b+;;;38.06 h;7/2-;
148Gd;64;84;a;;;86.9 y;0+;
149Gd;64;85;b+;;;9.28 d;7/2-;
150Gd;64;86;a;;;1.79E+6 y;0+;
151Gd;64;87;EC;;;123.9 d;7/2-;
152Gd;64;88;a;;;1.08E+14 y;0+;0.20
153Gd;64;89;EC;;;240.6 d;3/2-;
154Gd;64;90;stable;;;stable;0+;2.18
155Gd;64;91;stable;;;stable;3/2-;14.80
156Gd;64;92;stable;;;stable;0+;20.47
157Gd;64;93;stable;;;stable;3/2-;15.65
158Gd;64;94;stable;;;stable;0+;24.84
159Gd;64;95;b-;;;18.479 h;3/2-;
160Gd;64;96;stable;;;stable;0+;21.86
161Gd;64;97;b-;;;3.646 min;5/2-;
162Gd;64;98;b-;;;8.4 min;0+;
163Gd;64;99;b-;;;68 s;7/2+;
164Gd;64;100;b-;;;45 s;0+;
165Gd;64;101;b-;;;11.6 s;1/2-;
166Gd;64;102;b-;;;5.1 s;0+;
167Gd;64;103;b-;;;4.2 s;5/2-;
168Gd;64;104;b-;;;3.03 s;0+;
169Gd;64;105;b-;;;750 ms;7/2-;
170Gd;64;106;b-;;;675 ms;0+;
171Gd;64;107;b-;;;392 ms;9/2+;
172Gd;64;108;b-;;;163 ms;0+;
135Tb;65;70;p;;;1.01 ms;(7/2-);
138Tb;65;73;b+;;;;;
139Tb;65;74;b+;;;1.6 s;5/2-;
140Tb;65;75;b+;;;2.29 s;(7+);
141Tb;65;76;b+;;;3.5 s;(5/2-);
142Tb;65;77;b+;;;597 ms;1+;
143Tb;65;78;b+;;;12 s;(11/2-);
144Tb;65;79;b+;;;1 s;1+;
145Tb;65;80;b+;;;30.9 s;(11/2-);
146Tb;65;81;b+;;;8 s;1+;
147Tb;65;82;b+;;;1.64 h;(1/2+);
148Tb;65;83;b+;;;60 min;2-;
149Tb;65;84;b+: 83.3%;a: 16.7%;;4.118 h;1/2+;
